Test Name = Day 1 Test
Client = Case Study 3
Project Number = 
Gear Ratio = 6.7 Eff. (High Speed)
Test Notes = 

Date	Time	Dec. Sec.	Speed (RPM)	CMD Speed (RPM)	Main Temp (Deg F)	Reservoir Temp (Deg F)	Ambient Temp (Deg F)	VFD Power	Main Pres. (psi)	Cl Pres. (psi)	Ch Pres (psi)	Reservoir Level (0 to 100%)	M Temp (F)	Second Reservoir Temp (F)	UP Res Level (%)	VFD Power SMA20
2022/09/19	16:12:13	.1	40.86	50.00	72.58	68.97	74.85	0.24	-49.97	1344.41	-46.68	58.57	74.73	70.43	65.89	0.20
2022/09/19	16:12:13	.3	42.31	50.00	72.58	68.97	74.85	0.20	-43.06	1344.72	-47.16	58.55	74.74	70.43	65.88	0.20
2022/09/19	16:12:13	.5	42.31	50.00	72.57	69.27	74.86	0.20	-43.06	1344.72	-47.16	58.55	74.74	70.39	65.88	0.19
2022/09/19	16:12:13	.7	42.31	50.00	72.57	69.27	74.86	0.17	-43.06	1344.72	-47.16	58.55	74.74	70.39	65.88	0.19
2022/09/19	16:12:13	.9	42.31	50.00	72.57	69.27	74.86	0.17	-43.06	1344.72	-47.16	58.55	74.74	70.39	65.88	0.19
2022/09/19	16:12:14	.1	42.38	50.00	72.57	69.27	74.86	0.19	-47.99	1352.88	-50.43	58.54	74.76	70.39	65.89	0.19
2022/09/19	16:12:14	.3	42.38	50.00	72.57	69.27	74.86	0.22	-47.99	1352.88	-50.43	58.54	74.76	70.39	65.89	0.19
2022/09/19	16:12:14	.5	42.38	50.00	72.49	69.03	74.85	0.19	-47.99	1352.88	-50.43	58.54	74.76	70.33	65.89	0.19
2022/09/19	16:12:14	.7	42.38	50.00	72.49	69.03	74.85	0.21	-47.99	1352.88	-50.43	58.54	74.76	70.33	65.89	0.20
2022/09/19	16:12:14	.9	42.38	50.00	72.49	69.03	74.85	0.18	-47.99	1352.88	-50.43	58.54	74.76	70.33	65.89	0.20
2022/09/19	16:12:15	.1	43.48	50.00	72.49	69.03	74.85	0.18	-48.83	1351.78	-48.25	58.54	74.78	70.33	65.91	0.19
2022/09/19	16:12:15	.3	43.48	50.00	72.49	69.03	74.85	0.26	-48.83	1351.78	-48.25	58.54	74.78	70.33	65.91	0.19
2022/09/19	16:12:15	.5	43.48	50.00	72.55	69.32	74.89	0.19	-48.83	1351.78	-48.25	58.54	74.78	70.34	65.91	0.19
2022/09/19	16:12:15	.7	43.48	50.00	72.55	69.32	74.89	0.21	-48.83	1351.78	-48.25	58.54	74.78	70.34	65.91	0.19
2022/09/19	16:12:15	.9	44.39	50.00	72.55	69.32	74.89	0.19	-48.61	1351.14	-42.76	58.54	74.76	70.34	65.92	0.20
2022/09/19	16:12:16	.1	44.39	50.00	72.55	69.32	74.89	0.21	-48.61	1351.14	-42.76	58.54	74.76	70.34	65.92	0.20
2022/09/19	16:12:16	.3	44.39	50.00	72.55	69.32	74.89	0.20	-48.61	1351.14	-42.76	58.54	74.76	70.34	65.92	0.20
2022/09/19	16:12:16	.5	44.39	50.00	72.48	69.29	74.87	0.19	-48.61	1351.14	-42.76	58.54	74.76	70.37	65.92	0.20
2022/09/19	16:12:16	.7	44.44	50.00	72.48	69.29	74.87	0.18	-48.30	1349.01	-47.33	58.55	74.74	70.37	65.94	0.20
2022/09/19	16:12:16	.9	44.44	50.00	72.48	69.29	74.87	0.19	-48.30	1349.01	-47.33	58.55	74.74	70.37	65.94	0.20
2022/09/19	16:12:17	.1	44.44	50.00	72.48	69.29	74.87	0.19	-48.30	1349.01	-47.33	58.55	74.74	70.37	65.94	0.20
