Test Name = Day 1 Test
Client = Case Study 3
Project Number = 
Gear Ratio = 6.7 Eff. (High Speed)
Test Notes = 

Date	Time	Dec. Sec.	Speed (RPM)	CMD Speed (RPM)	Main Temp (Deg F)	Reservoir Temp (Deg F)	Ambient Temp (Deg F)	VFD Power	Main Pres. (psi)	Cl Pres. (psi)	Ch Pres (psi)	Reservoir Level (0 to 100%)	M Temp (F)	Second Reservoir Temp (F)	UP Res Level (%)	VFD Power SMA20
2022/09/20	06:30:41	.3	-50.00	0.00	0.00	0.00	0.00	0.00	-748.50	-745.13	-758.67	-25.00	-48.00	0.00	-25.00	0.00
2022/09/20	06:30:41	.5	-50.00	0.00	0.00	0.00	0.00	0.00	-748.50	-745.13	-758.67	-25.00	-48.00	0.00	-25.00	0.00
2022/09/20	06:30:41	.7	-50.00	0.00	0.00	0.00	0.00	0.00	-748.50	-745.13	-758.67	-25.00	-48.00	0.00	-25.00	0.00
2022/09/20	06:30:41	.9	-50.00	0.00	0.00	0.00	0.00	0.00	-748.50	-745.13	-758.67	-25.00	-48.00	0.00	-25.00	0.00
2022/09/20	06:30:42	.1	-50.00	0.00	0.00	0.00	0.00	0.00	-748.50	-745.13	-758.67	-25.00	-48.00	0.00	-25.00	0.00
2022/09/20	06:30:42	.3	-50.00	0.00	0.00	0.00	0.00	0.00	-748.50	-745.13	-758.67	-25.00	-48.00	0.00	-25.00	0.00
2022/09/20	06:30:42	.5	-50.00	0.00	0.00	0.00	0.00	0.00	-748.50	-745.13	-758.67	-25.00	-48.00	0.00	-25.00	0.00
2022/09/20	06:30:42	.7	-50.00	0.00	0.00	0.00	0.00	0.00	-748.50	-745.13	-758.67	-25.00	-48.00	0.00	-25.00	0.00
2022/09/20	06:30:42	.9	-50.00	0.00	0.00	0.00	0.00	0.00	-748.50	-745.13	-758.67	-25.00	-48.00	0.00	-25.00	0.00
2022/09/20	06:30:43	.1	-50.00	0.00	0.00	0.00	0.00	0.00	-748.50	-745.13	-758.67	-25.00	-48.00	0.00	-25.00	0.00
2022/09/20	06:30:43	.3	-50.00	0.00	0.00	0.00	0.00	0.00	-748.50	-745.13	-758.67	-25.00	-48.00	0.00	-25.00	0.00
2022/09/20	06:30:43	.5	-50.00	0.00	0.00	0.00	0.00	0.00	-748.50	-745.13	-758.67	-25.00	-48.00	0.00	-25.00	0.00
2022/09/20	06:30:43	.7	-50.00	0.00	0.00	0.00	0.00	0.00	-748.50	-745.13	-758.67	-25.00	-48.00	0.00	-25.00	0.00
2022/09/20	06:30:43	.9	-50.00	0.00	0.00	0.00	0.00	0.00	-748.50	-745.13	-758.67	-25.00	-48.00	0.00	-25.00	0.00
2022/09/20	06:30:44	.1	-50.00	0.00	0.00	0.00	0.00	0.00	-748.50	-745.13	-758.67	-25.00	-48.00	0.00	-25.00	0.00
2022/09/20	06:30:44	.3	-50.00	0.00	0.00	0.00	0.00	0.00	-748.50	-745.13	-758.67	-25.00	-48.00	0.00	-25.00	0.00
2022/09/20	06:30:44	.5	-50.00	0.00	0.00	0.00	0.00	0.00	-748.50	-745.13	-758.67	-25.00	-48.00	0.00	-25.00	0.00
2022/09/20	06:30:44	.7	-50.00	0.00	0.00	0.00	0.00	0.00	-748.50	-745.13	-758.67	-25.00	-48.00	0.00	-25.00	0.00
2022/09/20	06:30:44	.9	-50.00	0.00	0.00	0.00	0.00	0.00	-748.50	-745.13	-758.67	-25.00	-48.00	0.00	-25.00	0.00
2022/09/20	06:30:45	.1	-50.00	0.00	0.00	0.00	0.00	0.00	-748.50	-745.13	-758.67	-25.00	-48.00	0.00	-25.00	0.00
2022/09/20	06:30:45	.3	-50.00	0.00	0.00	0.00	0.00	0.00	-748.50	-745.13	-758.67	-25.00	-48.00	0.00	-25.00	0.00
2022/09/20	06:30:45	.5	-50.00	0.00	0.00	0.00	0.00	0.00	-748.50	-745.13	-758.67	-25.00	-48.00	0.00	-25.00	0.00
2022/09/20	06:30:45	.7	-50.00	0.00	0.00	0.00	0.00	0.00	-748.50	-745.13	-758.67	-25.00	-48.00	0.00	-25.00	0.00
2022/09/20	06:30:45	.9	-50.00	0.00	0.00	0.00	0.00	0.00	-748.50	-745.13	-758.67	-25.00	-48.00	0.00	-25.00	0.00
2022/09/20	06:30:46	.1	-50.00	0.00	0.00	0.00	0.00	0.00	-748.50	-745.13	-758.67	-25.00	-48.00	0.00	-25.00	0.00
2022/09/20	06:30:46	.3	-0.33	0.00	71.72	70.80	71.38	0.02	-3.66	1288.09	-5.70	57.99	73.34	71.02	65.48	0.00
2022/09/20	06:30:46	.5	-0.33	0.00	71.72	70.80	71.38	0.02	-3.66	1288.09	-5.70	57.99	73.34	71.02	65.48	0.00
2022/09/20	06:30:46	.7	-0.33	0.00	71.72	70.71	71.39	0.01	-3.66	1288.09	-5.70	57.99	73.34	71.04	65.48	0.00
2022/09/20	06:30:46	.9	-0.31	0.00	71.72	70.71	71.39	0.01	-1.88	1287.32	-5.66	57.99	73.35	71.04	65.48	0.01
2022/09/20	06:30:47	.1	-0.31	0.00	71.72	70.71	71.39	0.02	-1.88	1287.32	-5.66	57.99	73.35	71.04	65.48	0.01
2022/09/20	06:30:47	.3	-0.31	0.00	71.72	70.71	71.39	0.02	-1.88	1287.32	-5.66	57.99	73.35	71.04	65.48	0.01
2022/09/20	06:30:47	.5	-0.31	0.00	71.72	70.71	71.39	0.02	-1.88	1287.32	-5.66	57.99	73.35	71.04	65.48	0.01
2022/09/20	06:30:47	.7	-0.31	0.00	71.73	70.84	71.38	0.02	-1.88	1287.32	-5.66	57.99	73.35	71.02	65.48	0.01
2022/09/20	06:30:47	.9	-0.33	0.00	71.73	70.84	71.38	0.01	-3.12	1287.12	-6.46	58.00	73.34	71.02	65.47	0.02
