Test Name = 9-20-2022
Client = Case Study 3
Project Number = 
Gear Ratio = 6.7 Eff. (High Speed)
Test Notes = 

Date	Time	Dec. Sec.	Speed (RPM)	CMD Speed (RPM)	Main Temp (Deg F)	Reservoir Temp (Deg F)	Ambient Temp (Deg F)	VFD Power	Wellbore Pres. (psi)	Cl Pres. (psi)	Ch Pres (psi)	Reservoir Level (0 to 100%)	M Temp (F)	Second Reservoir Temp (F)	UP Res Level (%)	VFD Power SMA20
2022/09/20	06:35:57	.8	50.01	50.00	71.31	69.63	69.36	0.21	-44.05	1263.36	-45.43	57.86	73.21	67.74	65.40	0.22
2022/09/20	06:35:58	.0	50.01	50.00	71.31	69.63	69.36	0.21	-44.05	1263.36	-45.43	57.86	73.21	67.74	65.40	0.22
2022/09/20	06:35:58	.2	50.01	50.00	71.31	69.63	69.36	0.20	-44.05	1263.36	-45.43	57.86	73.21	67.74	65.40	0.22
2022/09/20	06:35:58	.4	50.01	50.00	71.31	69.63	69.36	0.20	-44.05	1263.36	-45.43	57.86	73.21	67.74	65.40	0.22
2022/09/20	06:35:58	.6	50.02	50.00	71.31	69.63	69.36	0.25	-47.44	1273.53	-45.53	57.86	73.19	67.74	65.40	0.22
2022/09/20	06:35:58	.8	50.02	50.00	71.42	69.47	69.33	0.22	-47.44	1273.53	-45.53	57.86	73.19	67.68	65.40	0.22
2022/09/20	06:35:59	.0	50.02	50.00	71.42	69.47	69.33	0.25	-47.44	1273.53	-45.53	57.86	73.19	67.68	65.40	0.22
2022/09/20	06:35:59	.2	50.02	50.00	71.42	69.47	69.33	0.24	-47.44	1273.53	-45.53	57.86	73.19	67.68	65.40	0.22
2022/09/20	06:35:59	.4	50.00	50.00	71.42	69.47	69.33	0.26	-47.33	1264.39	-45.40	57.85	73.21	67.68	65.39	0.22
2022/09/20	06:35:59	.6	50.00	50.00	71.42	69.47	69.33	0.20	-47.33	1264.39	-45.40	57.85	73.21	67.68	65.39	0.22
2022/09/20	06:35:59	.8	50.00	50.00	71.46	69.63	69.35	0.20	-47.33	1264.39	-45.40	57.85	73.21	67.84	65.39	0.22
2022/09/20	06:36:00	.0	50.00	50.00	71.46	69.63	69.35	0.22	-47.33	1264.39	-45.40	57.85	73.21	67.84	65.39	0.22
2022/09/20	06:36:00	.2	50.00	50.00	71.46	69.63	69.35	0.19	-47.33	1264.39	-45.40	57.85	73.21	67.84	65.39	0.22
2022/09/20	06:36:00	.4	50.01	50.00	71.46	69.63	69.35	0.21	-39.80	1268.72	-48.75	57.89	73.20	67.84	65.38	0.22
2022/09/20	06:36:00	.6	50.01	50.00	71.46	69.63	69.35	0.22	-39.80	1268.72	-48.75	57.89	73.20	67.84	65.38	0.22
2022/09/20	06:36:00	.8	50.01	50.00	71.53	69.49	69.35	0.21	-39.80	1268.72	-48.75	57.89	73.20	67.73	65.38	0.22
2022/09/20	06:36:01	.0	50.01	50.00	71.53	69.49	69.35	0.23	-39.80	1268.72	-48.75	57.89	73.20	67.73	65.38	0.22
2022/09/20	06:36:01	.2	50.02	50.00	71.53	69.49	69.35	0.21	-47.91	1270.16	-47.07	57.88	73.19	67.73	65.38	0.22
2022/09/20	06:36:01	.4	50.02	50.00	71.53	69.49	69.35	0.23	-47.91	1270.16	-47.07	57.88	73.19	67.73	65.38	0.22
2022/09/20	06:36:01	.6	50.02	50.00	71.53	69.49	69.35	0.23	-47.91	1270.16	-47.07	57.88	73.19	67.73	65.38	0.21
2022/09/20	06:36:01	.8	50.02	50.00	71.53	69.49	69.35	0.22	-47.91	1270.16	-47.07	57.88	73.19	67.73	65.38	0.21
2022/09/20	06:36:02	.0	49.99	50.00	71.49	69.55	69.31	0.25	-46.24	1264.87	-41.63	57.86	73.20	67.82	65.39	0.22
2022/09/20	06:36:02	.2	49.99	50.00	71.49	69.55	69.31	0.21	-46.24	1264.87	-41.63	57.86	73.20	67.82	65.39	0.22
2022/09/20	06:36:02	.4	49.99	50.00	71.49	69.55	69.31	0.22	-46.24	1264.87	-41.63	57.86	73.20	67.82	65.39	0.22
2022/09/20	06:36:02	.6	49.99	50.00	71.49	69.55	69.31	0.31	-46.24	1264.87	-41.63	57.86	73.20	67.82	65.39	0.22
2022/09/20	06:36:02	.8	49.86	50.00	71.49	69.55	69.31	0.24	-41.55	1276.52	-45.05	57.86	73.20	67.82	65.38	0.22
2022/09/20	06:36:03	.0	49.86	50.00	71.44	69.48	69.32	0.27	-41.55	1276.52	-45.05	57.86	73.20	67.80	65.38	0.23
2022/09/20	06:36:03	.2	49.86	50.00	71.44	69.48	69.32	0.20	-41.55	1276.52	-45.05	57.86	73.20	67.80	65.38	0.23
2022/09/20	06:36:03	.4	49.86	50.00	71.44	69.48	69.32	0.19	-41.55	1276.52	-45.05	57.86	73.20	67.80	65.38	0.23
2022/09/20	06:36:03	.6	49.87	50.00	71.44	69.48	69.32	0.18	-47.44	1265.98	-47.80	57.88	73.20	67.80	65.39	0.23
2022/09/20	06:36:03	.8	49.87	50.00	71.44	69.48	69.32	0.22	-47.44	1265.98	-47.80	57.88	73.20	67.80	65.39	0.23
2022/09/20	06:36:04	.0	49.87	50.00	71.55	69.38	69.31	0.23	-47.44	1265.98	-47.80	57.88	73.20	67.85	65.39	0.24
2022/09/20	06:36:04	.2	49.87	50.00	71.55	69.38	69.31	0.23	-47.44	1265.98	-47.80	57.88	73.20	67.85	65.39	0.23
2022/09/20	06:36:04	.4	49.87	50.00	71.55	69.38	69.31	0.21	-47.44	1265.98	-47.80	57.88	73.20	67.85	65.39	0.24
2022/09/20	06:36:04	.6	50.03	50.00	71.55	69.38	69.31	0.23	-42.22	1270.67	-42.68	57.86	73.20	67.85	65.39	0.23
2022/09/20	06:36:04	.8	50.03	50.00	71.55	69.38	69.31	0.19	-42.22	1270.67	-42.68	57.86	73.20	67.85	65.39	0.23
2022/09/20	06:36:05	.0	50.03	50.00	71.46	69.44	69.30	0.21	-42.22	1270.67	-42.68	57.86	73.20	67.92	65.39	0.23
2022/09/20	06:36:05	.2	50.03	50.00	71.46	69.44	69.30	0.21	-42.22	1270.67	-42.68	57.86	73.20	67.92	65.39	0.23
2022/09/20	06:36:05	.4	49.85	50.00	71.46	69.44	69.30	0.22	-38.67	1269.88	-43.80	57.86	73.19	67.92	65.38	0.23
2022/09/20	06:36:05	.6	49.85	50.00	71.46	69.44	69.30	0.21	-38.67	1269.88	-43.80	57.86	73.19	67.92	65.38	0.22
2022/09/20	06:36:05	.8	49.85	50.00	71.46	69.44	69.30	0.22	-38.67	1269.88	-43.80	57.86	73.19	67.92	65.38	0.23
2022/09/20	06:36:06	.0	49.85	50.00	71.46	69.25	69.30	0.23	-38.67	1269.88	-43.80	57.86	73.19	67.77	65.38	0.22
2022/09/20	06:36:06	.2	49.90	50.00	71.46	69.25	69.30	0.28	-47.31	1265.70	-44.19	57.86	73.19	67.77	65.33	0.22
2022/09/20	06:36:06	.4	49.90	50.00	71.46	69.25	69.30	0.26	-47.31	1265.70	-44.19	57.86	73.19	67.77	65.33	0.22
2022/09/20	06:36:06	.6	49.90	50.00	71.46	69.25	69.30	0.22	-47.31	1265.70	-44.19	57.86	73.19	67.77	65.33	0.23
